00;6;0;385609;1740506735056059
00;0;0;385609;1740506735056268
01;0;0;385609;1740506735059842
00;1;0;385609;1740506735059979
01;1;0;385609;1740506735157850
00;2;0;385609;1740506735158022
01;2;0;385609;1740506735160867
00;3;0;385609;1740506735161082
01;3;0;385609;1740506735161404
00;4;0;385609;1740506735161595
01;4;0;385609;1740506735163042
00;5;0;385609;1740506735163288
01;5;0;385609;1740506735165730
00;0;0;385609;1740506735165947
01;0;0;385609;1740506735167322
00;1;0;385609;1740506735167369
01;1;0;385609;1740506735265564
00;2;0;385609;1740506735265593
01;2;0;385609;1740506735268165
00;3;0;385609;1740506735268186
01;3;0;385609;1740506735269363
00;4;0;385609;1740506735269378
01;4;0;385609;1740506735270558
00;5;0;385609;1740506735270575
01;5;0;385609;1740506735272756
00;0;0;385609;1740506735272780
01;0;0;385609;1740506735274972
00;1;0;385609;1740506735274987
01;1;0;385609;1740506735374197
00;2;0;385609;1740506735374243
01;2;0;385609;1740506735380344
00;3;0;385609;1740506735380360
01;3;0;385609;1740506735382549
00;4;0;385609;1740506735382565
01;4;0;385609;1740506735383647
00;5;0;385609;1740506735383666
01;5;0;385609;1740506735385857
00;0;0;385609;1740506735385877
01;0;0;385609;1740506735389067
00;1;0;385609;1740506735389083
01;1;0;385609;1740506735489332
00;2;0;385609;1740506735489408
01;2;0;385609;1740506735493673
00;3;0;385609;1740506735493726
01;3;0;385609;1740506735496977
00;4;0;385609;1740506735497044
01;4;0;385609;1740506735498291
00;5;0;385609;1740506735498340
01;5;0;385609;1740506735500598
00;0;0;385609;1740506735500679
01;0;0;385609;1740506735504865
00;1;0;385609;1740506735504946
01;1;0;385609;1740506735606293
00;2;0;385609;1740506735606318
01;2;0;385609;1740506735616576
00;3;0;385609;1740506735616607
01;3;0;385609;1740506735620949
00;4;0;385609;1740506735621049
01;4;0;385609;1740506735622312
00;5;0;385609;1740506735622347
01;5;0;385609;1740506735624618
01;6;0;385609;1740506735624649
